Field,ID,Type (Type),default,en-us,ja-jp,zh-cn,zh-tw,de-de,es-us,id-id,tr-tr,ru-ru,uk-ua
Description,2,Text,,"A lightweight (uses a few MB of RAM and almost no CPU) utility that makes the Windows taskbar translucent/transparent on Windows 10 and Windows 11.

Runner up for the Microsoft Store App Awards 2022 - Community Choice Award: Open Platform! Thank you for voting for us!",Windows のタスクバーを半透明/透明化する軽量なユーティリティです。Windows 10 と Windows 11 用。メモリ使用量は数MB、CPUはほとんど使いません。,"只需几 MB 内存，几乎不占用 CPU，便可以在 Windows 10/11 上使 Windows 任务栏半透明/透明的轻量小工具

Microsoft 商店应用奖亚军 - 社区之选奖: 开放平台！感谢所有给我们投票的用户！","只需幾 MB 記憶體，幾乎不需 CPU，便可以在 Windows 10/11 令 Windows 工作列半透明/透明的輕盈小工具

Microsoft 商店應用獎亞軍 - 社群之選獎: 開放平台！感謝所有投票的用家！","Ein ressourcensparendes Tool (nutzt wenige MB an RAM und kaum CPU), das die Windows Taskleiste unter Windows 10 und Windows 11 transparent macht.

Zweiter Platz bei den Microsoft Store App Awards 2022 – Community Choice Award: Offene Plattform! Vielen Dank, dass Sie für uns gestimmt haben!","Una utilidad liviana (usa unos pocos MB de RAM y casi ninguna CPU) que hace que la barra de tareas de Windows sea translúcida/transparente en Windows 10 y Windows 11.

Finalista de los Microsoft Store App Awards 2022 - Community Choice Award: ¡Plataforma abierta! ¡Gracias por votar por nosotros!","Sebuah utilitas ringan (menggunakan sedikit MB hingga tidak terpakai pada RAM) yang membuat taskbar Windows tembus pandang/transparan pada Windows 10 dan Windows 11.

Runner up di Microsoft Store App Awards 2022 - Community Choice Award: Open Platform! Terima kasih telah memilih kami!","Windows 10 ve Windows 11'de Windows görev çubuğunu yarı saydam/şeffaf hale getiren hafif (birkaç MB RAM ve neredeyse hiç CPU kullanmayan) bir yardımcı program.

Microsoft Store Uygulama Ödülleri 2022 - Topluluğun Seçimi Ödülü ikincisi: Açık Platform! Bize oy verdiğiniz için teşekkür ederiz!","Легковесная (использует считанные мегабайты ОЗУ и почти не нагружает процессор) утилита, делающая панель задач Windows прозрачной на Windows 10 и Windows 11.

Второе место в конкурсе Microsoft Store App Awards 2022 — награда «Выбор сообщества: открытая платформа»! Спасибо, что проголосовали за нас!","Легка (використовує кілька мегабайт ОЗУ та майже не навантажує процесор) утиліта, яка робить панель завдань Windows прозорою/передбачуваною на Windows 10 і Windows 11.

Друге місце на Microsoft Store App Awards 2022 - Вибір спільноти: Відкрита платформа! Дякуємо вам за голосування за нас!"
ReleaseNotes,3,Text,,"This is a release targeting support for Windows Moment 2, as well as adding several improvements in the process. Please read the full release notes on GitHub: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1",このリリースは、Windows Moment 2 への対応を目標にし、またいくつか改良を加えています。更新履歴の全文は GitHub でご覧ください: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1,这个版本主要增加对 Windows Moment 2 的支持，同时新增若干项功能及错误修正。详情请参考 GitHub 上的完整更新日志：https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1,這個版本針對支援 Windows Moment 2，同時新增數項功能及修正錯誤。詳情請參考 GitHub 的完整更新日誌：https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1,"Dies ist eine Version, die auf die Unterstützung von Windows Moment 2 abzielt und mehrere Verbesserungen in den Prozess einfügt. Bitte lesen Sie die vollständigen Versionshinweise auf GitHub: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1","Esta es una versión dirigida a la compatibilidad con Windows Moment 2, además de agregar varias mejoras en el proceso. Lea las notas de la versión completa en GitHub: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1","Ini adalah rilisan yang menargetkan dukungan untuk Windows Moment 2, serta menambahkan beberapa perbaikan dalam prosesnya. Mohon baca catatan rilis penuh di GitHub: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1","Bu, Windows Moment 2 desteğini hedefleyen ve bu süreçte çeşitli iyileştirmeler ekleyen bir sürümdür. Lütfen GitHub'daki sürüm notlarının tamamını okuyun: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1","Это релиз, нацеленный на поддержку Windows Moment 2, так же как и на добавление некоторых улучшений в процессе. Пожалуйста, ознакомтесь с полным списком изменений на GitHub:
https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1","Це оновлення призначене для підтримки Windows Moment 2, а також додає кілька поліпшень в процесі. Будь ласка, прочитайте повний опис оновлення на GitHub: https://github.com/TranslucentTB/TranslucentTB/releases/tag/2024.1"
Title,4,Text,,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB,TranslucentTB
ShortTitle,5,Text,,,,,,,,,,,
SortTitle,6,Text,,,,,,,,,,,
VoiceTitle,7,Text,,,,,,,,,,,
ShortDescription,8,Text,,,,,,,,,,,
DevStudio,9,Text,,TranslucentTB Open Source Developers,TranslucentTB オープンソース開発者,TranslucentTB 开源开发者,TranslucentTB 開源開發者,TranslucentTB Open-Source-Entwickler,Desarrolladores de Código Abierto TranslucentTB,Pengembang Sumber Terbuka TranslucentTB,TranslucentTB Açık Kaynak Geliştiricileri,Разработчики открытого исходного кода TranslucentTB,TranslucentTB розробники з відкритого коду
CopyrightTrademarkInformation,12,Text,,Copyright © 2024 TranslucentTB Open Source Developers,著作権 © 2024 TranslucentTB オープンソース開発者,版权所有 © 2024 TranslucentTB 开源开发者,版權所有 © 2024 TranslucentTB 開源開發者,Copyright © 2024 TranslucentTB Open-Source-Entwickler,Copyright © 2024 Desarrolladores de Código Abierto TranslucentTB,Hak Cipta © 2024 Pengembang Sumber Terbuka TranslucentTB,Telif hakkı © 2024 TranslucentTB Açık Kaynak Geliştiricileri,Все права защищены © 2024 Разработчики открытого исходного кода TranslucentTB,Copyright © 2024 Розробники відкритого коду TranslucentTB
AdditionalLicenseTerms,13,Text,,,,,,,,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700001058450/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856845/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856847/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700011856849/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853123/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853125/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853127/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853129/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700013853151/listingassets/2000000000016632758,https://developer.microsoft.com/en-us/dashboard/apps/9PF4KZ2VN4W9/submissions/1152921505697448772/listings/1152922700016148329/listingassets/2000000000016632758
